Rank,University Name,Location,Established Year,Total Students,Number of Campuses,Programs Offered,University Type,Total Faculty,Campus Area (Acres),QS Ranking (Asia),QS_Numeric,Gravity_Resistance,Orbital_Stability,Innovation_Thrust
1,National University of Sciences and Technology (NUST),Islamabad,1991,18500,8,"Engineering, IT, Medical Sciences, Business, Social Sciences, Architecture",Public,850,1000,92,92,4.594594594594595,608,6
2,Quaid-i-Azam University (QAU),Islamabad,1967,13000,1,"Natural Sciences, Social Sciences, Biological Sciences, Pharmacy",Public,650,1705,151-160,151,5.0,549,4
3,Lahore University of Management Sciences (LUMS),"Lahore, Punjab",1984,5800,1,"Business, Engineering, Law, Economics, Humanities, Sciences",Private,325,100,121-130,121,5.603448275862069,579,6
4,Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,2000,2500,1,"Nuclear Engineering, Electronics, Materials Science, Computer Science",Public,180,350,201-250,201,7.199999999999999,499,4
5,University of Punjab,"Lahore, Punjab",1882,36000,4,"Arts, Sciences, Business, Engineering, IT, Medical, Law, Education",Public,1800,1800,251-300,251,5.0,449,8
6,COMSATS University Islamabad (CUI),Islamabad (Multiple Cities),1998,42000,7,"Computer Science, Engineering, Business, Sciences, Humanities",Public,1500,450,301-350,301,3.571428571428571,399,5
7,Ghulam Ishaq Khan Institute (GIKI),"Topi, Khyber Pakhtunkhwa",1993,2800,1,"Engineering, Computer Science, Management Sciences",Private,150,400,301-350,301,5.357142857142857,399,3
8,University of Engineering and Technology (UET) Lahore,"Lahore, Punjab",1921,14000,4,"All Engineering Disciplines, Architecture, Sciences",Public,700,105,351-400,351,5.0,349,3
9,Aga Khan University (AKU),"Karachi, Sindh",1983,3500,3,"Medicine, Nursing, Education, Arts & Sciences",Private,450,85,251-300,251,12.857142857142856,449,4
10,University of Karachi,"Karachi, Sindh",1951,24000,2,"Arts, Sciences, Business, Pharmacy, Engineering, Law, Education",Public,1200,1279,401-450,401,5.0,299,7
11,Bahria University,Islamabad (Multiple Cities),2000,16000,4,"Engineering, IT, Management, Law, Psychology, Media Studies",Public,800,220,451-500,451,5.0,249,6
12,FAST National University,Islamabad (Multiple Cities),2000,13000,5,"Computer Science, Engineering, Management Sciences",Public,650,150,451-500,451,5.0,249,3
13,University of Agriculture Faisalabad,"Faisalabad, Punjab",1906,11000,4,"Agriculture, Veterinary, Engineering, Food Sciences, Economics",Public,850,2550,501-550,501,7.727272727272727,199,5
14,University of Peshawar,"Peshawar, Khyber Pakhtunkhwa",1950,15000,2,"Arts, Sciences, Social Sciences, Law, Education, Management",Public,900,1026,501-550,501,6.0,199,6
15,Air University,Islamabad (Multiple Cities),2002,10000,5,"Engineering, IT, Management, Aeronautics, Aviation",Public,550,160,551-600,551,5.5,149,5
16,University of Health Sciences (UHS),"Lahore, Punjab",2002,8000,1,"Medicine, Dentistry, Pharmacy, Nursing, Allied Health Sciences",Public,400,75,551-600,551,5.0,149,5
17,University of Veterinary and Animal Sciences (UVAS),"Lahore, Punjab",2002,4500,2,"Veterinary Medicine, Animal Sciences, Biotechnology, Fisheries",Public,350,1600,601-650,601,7.777777777777778,99,4
18,NED University of Engineering and Technology,"Karachi, Sindh",1922,12000,1,"Engineering, Architecture, Management, Sciences",Public,650,117,601-650,601,5.416666666666667,99,4
19,University of Balochistan,"Quetta, Balochistan",1970,9000,1,"Arts, Sciences, Law, Commerce, Education, IT",Public,450,300,651-700,651,5.0,49,6
20,Mehran University of Engineering and Technology,"Jamshoro, Sindh",1963,9500,1,"Engineering, Architecture, Management, IT, Sciences",Public,500,387,651-700,651,5.263157894736842,49,5
